Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
April,2023,"CRUDE OIL",Import,20045.10,89105.37,10851.35,"2024-02-21 04:02:12"
April,2023,LPG,Import,1004.26,4871.51,590.31,"2024-02-21 04:02:12"
April,2023,MS,Import,0.00,0.16,0.02,"2024-02-21 04:02:12"
April,2023,Naphtha,Import,56.88,314.18,38.31,"2024-02-21 04:02:12"
April,2023,ATF,Import,,,,"2024-02-21 04:02:12"
April,2023,HSD,Import,1.99,16.79,2.05,"2024-02-21 04:02:12"
April,2023,"LOBS/ Lube oil",Import,166.77,1341.64,163.54,"2024-02-21 04:02:12"
April,2023,"Fuel Oil",Import,712.82,2256.12,274.73,"2024-02-21 04:02:12"
April,2023,Bitumen,Import,359.99,1254.29,152.93,"2024-02-21 04:02:12"
April,2023,Petcoke,Import,656.69,1125.85,137.26,"2024-02-21 04:02:12"
April,2023,Others&,Import,191.57,1159.43,141.37,"2024-02-21 04:02:12"
April,2023,"PRODUCT IMPORT*",Import,3150.97,12339.96,1500.51,"2024-02-21 04:02:12"
April,2023,"TOTAL IMPORT",Import,23196.07,101445.33,12351.86,"2024-02-21 04:02:12"
April,2023,LPG,Export,39.78,291.91,35.22,"2024-02-21 04:02:12"
April,2023,MS!,Export,1256.99,9178.56,1119.99,"2024-02-21 04:02:12"
April,2023,Naphtha$,Export,347.14,1781.04,216.74,"2024-02-21 04:02:12"
April,2023,ATF#,Export,630.82,3938.23,479.32,"2024-02-21 04:02:12"
April,2023,SKO,Export,1.32,9.90,1.19,"2024-02-21 04:02:12"
April,2023,HSD,Export,1910.34,11342.93,1380.22,"2024-02-21 04:02:12"
April,2023,LDO,Export,0.05,0.39,0.05,"2024-02-21 04:02:12"
April,2023,"LOBS/ Lube Oil",Export,0.03,0.48,0.06,"2024-02-21 04:02:12"
April,2023,"Fuel Oil",Export,28.01,96.50,11.70,"2024-02-21 04:02:12"
April,2023,Bitumen,Export,0.05,0.28,0.03,"2024-02-21 04:02:12"
April,2023,"Petcoke / CBFS",Export,11.00,9.94,1.22,"2024-02-21 04:02:12"
April,2023,Others%,Export,139.52,735.64,89.43,"2024-02-21 04:02:12"
April,2023,"TOTAL  PRODUCT EXPORT",Export,4365.06,27385.79,3335.17,"2024-02-21 04:02:12"
April,2023,"NET IMPORT",Export,18831.01,74059.54,9016.69,"2024-02-21 04:02:12"
May,2023,"CRUDE OIL",Import,20578.12,87422.24,10627.82,"2024-02-21 04:02:12"
May,2023,LPG,Import,1444.17,6774.11,823.11,"2024-02-21 04:02:12"
May,2023,MS,Import,0.00,0.24,0.03,"2024-02-21 04:02:12"
May,2023,Naphtha,Import,66.17,328.09,39.97,"2024-02-21 04:02:12"
May,2023,ATF,Import,,,,"2024-02-21 04:02:12"
May,2023,HSD,Import,1.91,12.91,1.57,"2024-02-21 04:02:12"
May,2023,"LOBS/ Lube oil",Import,208.72,1752.22,212.82,"2024-02-21 04:02:12"
May,2023,"Fuel Oil",Import,715.09,2331.48,283.34,"2024-02-21 04:02:12"
May,2023,Bitumen,Import,364.61,1271.07,154.37,"2024-02-21 04:02:12"
May,2023,Petcoke,Import,1086.32,1665.74,202.29,"2024-02-21 04:02:12"
May,2023,Others&,Import,368.80,1815.14,220.56,"2024-02-21 04:02:12"
May,2023,"PRODUCT IMPORT*",Import,4255.79,15950.99,1938.06,"2024-02-21 04:02:12"
May,2023,"TOTAL IMPORT",Import,24833.91,103373.23,12565.89,"2024-02-21 04:02:12"
May,2023,LPG,Export,45.95,274.87,33.44,"2024-02-21 04:02:12"
May,2023,MS!,Export,1251.29,8015.98,973.88,"2024-02-21 04:02:12"
May,2023,Naphtha$,Export,463.69,2161.68,262.75,"2024-02-21 04:02:12"
May,2023,ATF#,Export,682.33,3865.54,470.32,"2024-02-21 04:02:12"
May,2023,SKO,Export,1.27,9.19,1.12,"2024-02-21 04:02:12"
May,2023,HSD,Export,2375.47,12882.90,1568.62,"2024-02-21 04:02:12"
May,2023,LDO,Export,,,,"2024-02-21 04:02:12"
May,2023,"LOBS/ Lube Oil",Export,0.01,0.20,0.02,"2024-02-21 04:02:12"
May,2023,"Fuel Oil",Export,87.01,274.30,33.31,"2024-02-21 04:02:12"
May,2023,Bitumen,Export,0.07,0.33,0.04,"2024-02-21 04:02:12"
May,2023,"Petcoke / CBFS",Export,16.50,13.15,1.60,"2024-02-21 04:02:12"
May,2023,Others%,Export,384.49,1853.67,225.20,"2024-02-21 04:02:12"
May,2023,"TOTAL  PRODUCT EXPORT",Export,5308.08,29351.80,3570.30,"2024-02-21 04:02:12"
May,2023,"NET IMPORT",Export,19525.83,74021.43,8995.58,"2024-02-21 04:02:12"
June,2023,"CRUDE OIL",Import,19556.23,82586.44,10044.08,"2024-02-21 04:02:12"
June,2023,LPG,Import,1320.28,5092.68,616.07,"2024-02-21 04:02:12"
June,2023,MS,Import,145.89,979.56,118.89,"2024-02-21 04:02:12"
June,2023,Naphtha,Import,189.08,872.95,106.20,"2024-02-21 04:02:12"
June,2023,ATF,Import,,,,"2024-02-21 04:02:12"
June,2023,HSD,Import,0.62,4.13,0.50,"2024-02-21 04:02:12"
June,2023,"LOBS/ Lube oil",Import,172.83,1415.11,172.01,"2024-02-21 04:02:12"
June,2023,"Fuel Oil",Import,725.20,2330.65,283.55,"2024-02-21 04:02:12"
June,2023,Bitumen,Import,242.68,816.24,99.26,"2024-02-21 04:02:12"
June,2023,Petcoke,Import,710.14,970.44,118.01,"2024-02-21 04:02:12"
June,2023,Others&,Import,265.91,1286.95,156.33,"2024-02-21 04:02:12"
June,2023,"PRODUCT IMPORT*",Import,3772.64,13768.70,1670.82,"2024-02-21 04:02:12"
June,2023,"TOTAL IMPORT",Import,23328.87,96355.14,11714.90,"2024-02-21 04:02:12"
June,2023,LPG,Export,41.26,237.58,28.58,"2024-02-21 04:02:12"
June,2023,MS!,Export,1224.50,8040.35,977.69,"2024-02-21 04:02:12"
June,2023,Naphtha$,Export,586.73,2483.86,302.00,"2024-02-21 04:02:12"
June,2023,ATF#,Export,717.15,4123.34,500.85,"2024-02-21 04:02:12"
June,2023,SKO,Export,1.33,8.88,1.07,"2024-02-21 04:02:12"
June,2023,HSD,Export,1948.84,11037.03,1341.80,"2024-02-21 04:02:12"
June,2023,LDO,Export,,,,"2024-02-21 04:02:12"
June,2023,"LOBS/ Lube Oil",Export,0.26,4.51,0.55,"2024-02-21 04:02:12"
June,2023,"Fuel Oil",Export,137.38,456.97,55.64,"2024-02-21 04:02:12"
June,2023,Bitumen,Export,0.04,0.20,0.02,"2024-02-21 04:02:12"
June,2023,"Petcoke / CBFS",Export,,,,"2024-02-21 04:02:12"
June,2023,Others%,Export,354.20,1907.48,232.34,"2024-02-21 04:02:12"
June,2023,"TOTAL  PRODUCT EXPORT",Export,5011.69,28300.20,3440.54,"2024-02-21 04:02:12"
June,2023,"NET IMPORT",Export,18317.18,68054.94,8274.36,"2024-02-21 04:02:12"
July,2023,"CRUDE OIL",Import,19511.71,85309.89,10361.36,"2024-02-21 04:02:12"
July,2023,LPG,Import,1363.32,4656.24,567.06,"2024-02-21 04:02:12"
July,2023,MS,Import,,,,"2024-02-21 04:02:12"
July,2023,Naphtha,Import,38.50,308.25,37.55,"2024-02-21 04:02:12"
July,2023,ATF,Import,,,,"2024-02-21 04:02:12"
July,2023,HSD,Import,1.12,7.40,0.90,"2024-02-21 04:02:12"
July,2023,"LOBS/ Lube oil",Import,271.46,2124.32,258.58,"2024-02-21 04:02:12"
July,2023,"Fuel Oil",Import,681.43,2394.07,291.41,"2024-02-21 04:02:12"
July,2023,Bitumen,Import,231.43,754.97,91.90,"2024-02-21 04:02:12"
July,2023,Petcoke,Import,819.73,1122.60,136.65,"2024-02-21 04:02:12"
July,2023,Others&,Import,362.74,1600.39,194.82,"2024-02-21 04:02:12"
July,2023,"PRODUCT IMPORT*",Import,3769.73,12968.25,1578.87,"2024-02-21 04:02:12"
July,2023,"TOTAL IMPORT",Import,23281.43,98278.14,11940.23,"2024-02-21 04:02:12"
July,2023,LPG,Export,41.17,209.05,25.49,"2024-02-21 04:02:12"
July,2023,MS!,Export,1258.35,8531.72,1038.88,"2024-02-21 04:02:12"
July,2023,Naphtha$,Export,489.76,2277.23,277.23,"2024-02-21 04:02:12"
July,2023,ATF#,Export,782.28,5068.77,616.43,"2024-02-21 04:02:12"
July,2023,SKO,Export,1.02,6.77,0.82,"2024-02-21 04:02:12"
July,2023,HSD,Export,2384.38,14998.16,1827.82,"2024-02-21 04:02:12"
July,2023,LDO,Export,,,,"2024-02-21 04:02:12"
July,2023,"LOBS/ Lube Oil",Export,0.09,1.33,0.16,"2024-02-21 04:02:12"
July,2023,"Fuel Oil",Export,142.33,522.51,63.74,"2024-02-21 04:02:12"
July,2023,Bitumen,Export,3.20,12.37,1.50,"2024-02-21 04:02:12"
July,2023,"Petcoke / CBFS",Export,,,,"2024-02-21 04:02:12"
July,2023,Others%,Export,255.08,1746.08,212.69,"2024-02-21 04:02:12"
July,2023,"TOTAL  PRODUCT EXPORT",Export,5357.65,33373.99,4064.75,"2024-02-21 04:02:12"
July,2023,"NET IMPORT",Export,17923.79,64904.15,7875.48,"2024-02-21 04:02:12"
August,2023,"CRUDE OIL",Import,18708.40,90474.95,10936.13,"2024-02-21 04:02:12"
August,2023,LPG,Import,1569.17,6081.19,734.52,"2024-02-21 04:02:12"
August,2023,MS,Import,149.30,1216.83,147.18,"2024-02-21 04:02:12"
August,2023,Naphtha,Import,113.73,589.85,71.25,"2024-02-21 04:02:12"
August,2023,ATF,Import,0.00,0.03,0.00,"2024-02-21 04:02:12"
August,2023,HSD,Import,4.55,33.62,4.06,"2024-02-21 04:02:12"
August,2023,"LOBS/ Lube oil",Import,173.50,1188.83,143.61,"2024-02-21 04:02:12"
August,2023,"Fuel Oil",Import,766.30,2995.76,362.19,"2024-02-21 04:02:12"
August,2023,Bitumen,Import,231.57,939.23,113.38,"2024-02-21 04:02:12"
August,2023,Petcoke,Import,999.57,1378.99,166.57,"2024-02-21 04:02:12"
August,2023,Others&,Import,345.93,1676.69,202.51,"2024-02-21 04:02:12"
August,2023,"PRODUCT IMPORT*",Import,4353.62,16101.01,1945.29,"2024-02-21 04:02:12"
August,2023,"TOTAL IMPORT",Import,23062.02,106575.96,12881.42,"2024-02-21 04:02:12"
August,2023,LPG,Export,46.66,212.31,25.65,"2024-02-21 04:02:12"
August,2023,MS!,Export,1174.22,8977.02,1085.58,"2024-02-21 04:02:12"
August,2023,Naphtha$,Export,416.88,2130.79,257.95,"2024-02-21 04:02:12"
August,2023,ATF#,Export,900.49,6868.12,829.01,"2024-02-21 04:02:12"
